Job_ID,Role,Location,Work_Type,Experience,Qualification,Primary_Skills,Monthly_Salary_ZAR,Annual_Salary_ZAR
JOB001,IT Support Technician,Remote,Remote,1-2 years,Degree,"Windows, Networking, Active Directory",13500,162000
JOB002,Data Analyst,Remote,Remote,1-2 years,Degree,"Excel, SQL, Power BI",17000,204000
JOB003,Data Analyst,Remote,Remote,2-3 years,Diploma,"Excel, SQL, Power BI",16000,192000
JOB004,IT Support Technician,Cape Town,Hybrid,0-1 years,Diploma,"Windows, Networking, Active Directory",13000,156000
JOB005,Data Analyst,Johannesburg,On-site,0-1 years,Degree,"Excel, SQL, Power BI",15500,186000
JOB006,Junior Software Developer,Johannesburg,On-site,1-2 years,Diploma,"Python, Git, SQL",23000,276000
JOB007,Systems Analyst,Remote,Remote,2-3 years,Diploma,"SQL, Systems Analysis, Excel",22000,264000
JOB008,Business Analyst,Johannesburg,Hybrid,1-2 years,Certificate,"Excel, SQL, Requirements Analysis",19000,228000
JOB009,IT Support Technician,Cape Town,Hybrid,0-1 years,Degree,"Windows, Networking, Active Directory",11000,132000
JOB010,Data Engineer,Remote,Remote,2-3 years,Degree,"SQL, Python, ETL",28500,342000
JOB011,Systems Analyst,Johannesburg,On-site,0-1 years,Certificate,"SQL, Systems Analysis, Excel",17000,204000
JOB012,BI Analyst,Pretoria,On-site,0-1 years,Degree,"Power BI, SQL, Excel",17000,204000
JOB013,Data Engineer,Johannesburg,Hybrid,3-5 years,Degree,"SQL, Python, ETL",30500,366000
JOB014,Data Engineer,Johannesburg,Hybrid,0-1 years,Certificate,"SQL, Python, ETL",32000,384000
JOB015,Junior Software Developer,Johannesburg,Hybrid,0-1 years,Diploma,"Python, Git, SQL",25000,300000
JOB016,BI Analyst,Pretoria,Hybrid,0-1 years,Degree,"Power BI, SQL, Excel",20000,240000
JOB017,Junior Software Developer,Durban,On-site,1-2 years,Degree,"Python, Git, SQL",19000,228000
JOB018,Data Analyst,Cape Town,Hybrid,0-1 years,Degree,"Excel, SQL, Power BI",17500,210000
JOB019,IT Support Technician,Pretoria,On-site,2-3 years,Diploma,"Windows, Networking, Active Directory",13500,162000
JOB020,Systems Analyst,Remote,Remote,1-2 years,Degree,"SQL, Systems Analysis, Excel",19000,228000
JOB021,Data Engineer,Johannesburg,On-site,2-3 years,Degree,"SQL, Python, ETL",24000,288000
JOB022,Business Analyst,Remote,Remote,2-3 years,Certificate,"Excel, SQL, Requirements Analysis",20500,246000
JOB023,Junior Software Developer,Pretoria,On-site,0-1 years,Certificate,"Python, Git, SQL",22500,270000
JOB024,Junior Software Developer,Durban,Hybrid,0-1 years,Degree,"Python, Git, SQL",20000,240000
JOB025,IT Support Technician,Pretoria,On-site,0-1 years,Diploma,"Windows, Networking, Active Directory",14500,174000
JOB026,Data Analyst,Johannesburg,On-site,2-3 years,Diploma,"Excel, SQL, Power BI",16500,198000
JOB027,Business Analyst,Remote,Remote,0-1 years,Degree,"Excel, SQL, Requirements Analysis",18500,222000
JOB028,Cybersecurity Analyst,Pretoria,On-site,1-2 years,Degree,"Cybersecurity, SIEM, Networking",26000,312000
JOB029,Data Analyst,Remote,Remote,0-1 years,Diploma,"Excel, SQL, Power BI",18000,216000
JOB030,Cybersecurity Analyst,Johannesburg,Hybrid,1-2 years,Diploma,"Cybersecurity, SIEM, Networking",20500,246000
JOB031,Data Analyst,Durban,On-site,0-1 years,Degree,"Excel, SQL, Power BI",16500,198000
JOB032,Systems Analyst,Remote,Remote,0-1 years,Degree,"SQL, Systems Analysis, Excel",17500,210000
JOB033,Data Engineer,Cape Town,On-site,1-2 years,Diploma,"SQL, Python, ETL",29000,348000
JOB034,IT Support Technician,Durban,Hybrid,2-3 years,Degree,"Windows, Networking, Active Directory",16500,198000
JOB035,Cybersecurity Analyst,Johannesburg,On-site,0-1 years,Degree,"Cybersecurity, SIEM, Networking",24000,288000
JOB036,Data Analyst,Cape Town,On-site,1-2 years,Degree,"Excel, SQL, Power BI",15500,186000
JOB037,Cybersecurity Analyst,Johannesburg,Hybrid,0-1 years,Degree,"Cybersecurity, SIEM, Networking",26500,318000
JOB038,Junior Software Developer,Johannesburg,On-site,0-1 years,Diploma,"Python, Git, SQL",22500,270000
JOB039,Systems Analyst,Pretoria,Hybrid,2-3 years,Degree,"SQL, Systems Analysis, Excel",21000,252000
JOB040,Business Analyst,Johannesburg,On-site,1-2 years,Diploma,"Excel, SQL, Requirements Analysis",27500,330000
JOB041,Cybersecurity Analyst,Johannesburg,On-site,3-5 years,Degree,"Cybersecurity, SIEM, Networking",22000,264000
JOB042,Systems Analyst,Pretoria,Hybrid,3-5 years,Degree,"SQL, Systems Analysis, Excel",23500,282000
JOB043,IT Support Technician,Pretoria,Hybrid,2-3 years,Diploma,"Windows, Networking, Active Directory",15000,180000
JOB044,Cybersecurity Analyst,Cape Town,Hybrid,0-1 years,Degree,"Cybersecurity, SIEM, Networking",17500,210000
JOB045,Data Analyst,Cape Town,On-site,2-3 years,Degree,"Excel, SQL, Power BI",21500,258000
JOB046,IT Support Technician,Remote,Remote,2-3 years,Degree,"Windows, Networking, Active Directory",17000,204000
JOB047,BI Analyst,Cape Town,Hybrid,1-2 years,Degree,"Power BI, SQL, Excel",29500,354000
JOB048,BI Analyst,Johannesburg,Hybrid,0-1 years,Certificate,"Power BI, SQL, Excel",28000,336000
JOB049,Data Analyst,Pretoria,On-site,1-2 years,Diploma,"Excel, SQL, Power BI",16500,198000
JOB050,BI Analyst,Pretoria,Hybrid,0-1 years,Degree,"Power BI, SQL, Excel",24000,288000
JOB051,IT Support Technician,Cape Town,Hybrid,0-1 years,Certificate,"Windows, Networking, Active Directory",20500,246000
JOB052,Cybersecurity Analyst,Remote,Remote,1-2 years,Diploma,"Cybersecurity, SIEM, Networking",30500,366000
JOB053,Data Engineer,Johannesburg,On-site,0-1 years,Certificate,"SQL, Python, ETL",30500,366000
JOB054,Data Analyst,Johannesburg,Hybrid,0-1 years,Degree,"Excel, SQL, Power BI",20500,246000
JOB055,Cybersecurity Analyst,Johannesburg,On-site,3-5 years,Degree,"Cybersecurity, SIEM, Networking",31500,378000
JOB056,IT Support Technician,Pretoria,On-site,2-3 years,Certificate,"Windows, Networking, Active Directory",17000,204000
JOB057,Data Analyst,Johannesburg,On-site,2-3 years,Degree,"Excel, SQL, Power BI",14500,174000
JOB058,Business Analyst,Johannesburg,Hybrid,0-1 years,Diploma,"Excel, SQL, Requirements Analysis",21500,258000
JOB059,Junior Software Developer,Johannesburg,Hybrid,0-1 years,Degree,"Python, Git, SQL",25000,300000
JOB060,Data Analyst,Johannesburg,Hybrid,1-2 years,Certificate,"Excel, SQL, Power BI",18000,216000
JOB061,Systems Analyst,Cape Town,Hybrid,0-1 years,Degree,"SQL, Systems Analysis, Excel",29000,348000
JOB062,Business Analyst,Remote,Remote,2-3 years,Diploma,"Excel, SQL, Requirements Analysis",14000,168000
JOB063,Data Analyst,Johannesburg,On-site,0-1 years,Certificate,"Excel, SQL, Power BI",16000,192000
